Title,Company,Experience,Location,Description,Posted,Skills,Link
Senior AI / ML Engineer - NLP / Deep Learning,Leading Client,5-8 Yrs,"Bengaluru, Mumbai, Delhi / NCR",We are looking for a highly skilled Senior AI / ML Engineer with 5+ years of experience...,4 Days Ago,"NLP, Data Science, Tensorflow, PyTorch, Artificial Intelligence, Data Scientist, OpenAI, Computer Vision",https://www.naukri.com/job-listings-senior-ai-ml-engineer-nlp-deep-learning-zorba-consulting-india-pvt-ltd-mumbai-bengaluru-delhi-ncr-5-to-8-years-240425922043
NLP & LLM Engineer,Evalueserve,3-8 Yrs,Hybrid - Bangalore/ Bengaluru,Elevate Your Impact Through Innovation and Learning Evalueserve is a global leader in ...,13 Days Ago,"NLP, Bert, Spacy, Large Language Models, Nltk, Transformers, GPT, LLM",https://www.naukri.com/job-listings-nlp-llm-engineer-evalueserve-bangalore-bengaluru-3-to-8-years-310823004950
Senior AI/ML Engineer - NLP & Generative AI,Siemens,5-10 Yrs,Bengaluru,"Masters or Bachelors degree in Computer Science, Machine Learning, AI, or a related fie...",11 Days Ago,"python, natural language processing, aiml, artificial intelligence, ml, lora, c++, c",https://www.naukri.com/job-listings-senior-ai-ml-engineer-nlp-generative-ai-siemens-limited-bengaluru-5-to-10-years-170425914857
Lead NLP/LLM Engineer,Uplers,5-9 Yrs,Remote,Senior Machine Learning EngineerExperience: 5 - 7 Years Salary: INR 30-40 Lacs per annu...,7 Days Ago,"Pytorch, MLOps, LLM, Sagemaker, Vector Database, LangChain, CI/CD, rag",https://www.naukri.com/job-listings-lead-nlp-llm-engineer-uplers-bengaluru-5-to-9-years-210425006914
Urgently hiring For AI/ML Engineer (LLM/NLP) Manager/Sr. Manager role,Kaizenit Infotech,12-19 Yrs,"Bengaluru, Mumbai, Pune","1.For NLP: Gen AI, Machine Learning, Technical Role, 5+ years relevant experience in DS...",7 Days Ago,"Data Science, Large Language Model, Natural Language Processing, RAG, Machine Learning, GenAI, Artificial Intelligence, Data Scientist",https://www.naukri.com/job-listings-urgently-hiring-for-ai-ml-engineer-llm-nlp-manager-sr-manager-role-kaizenit-infotech-mumbai-pune-bengaluru-12-to-19-years-210425014450
Senior Machine Learning Engineer NLP/LLM,Avalara India,4-8 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Bachelors / Masters degree in computer science with 5+ years of industry experience in ...,2 Days Ago,"python, software development, microsoft azure, debugging, machine learning algorithms, cloud computing, machine learning, Microsoft",https://www.naukri.com/job-listings-senior-machine-learning-engineer-nlp-llm-avalara-india-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-260425504128
"Lead Data Scientist || GEN-AI, LLM, NLP, Conversational AI |",Birdeye,4-9 Yrs,"Hybrid - Bengaluru, Hyderabad, Gurugram","Bachelors or Master s in Computer Science, AI, Data Science, Machine Learning, Engineer...",8 Days Ago,"Generative AI, Nltk, Enterprise AI, Bert, Spacy, Tensorflow, Artificial Intelligence, Text Analytics",https://www.naukri.com/job-listings-lead-data-scientist-gen-ai-llm-nlp-conversational-ai-birdeye-hyderabad-gurugram-bengaluru-4-to-9-years-190425009348
Lead AIML Engineer - NLP & Generative AI,Siemens,2-7 Yrs,Bengaluru,"Bachelors or Masters degree in Computer Science, Machine Learning, AI, or a related fie...",11 Days Ago,"python, production, microsoft azure, stakeholder engagement, aws, natural language processing, electrical engineering, aiml",https://www.naukri.com/job-listings-lead-aiml-engineer-nlp-generative-ai-siemens-limited-bengaluru-2-to-7-years-170425915072
Machine Learning Data Scientist - NLP,Forecastera India,3-7 Yrs,"Bengaluru, Hyderabad","Education: Any graduate / postgraduate with a degree in Computer Science, Statistics, A...",30+ Days Ago,"Front end, Machine learning, Information retrieval, Natural language processing, Open source, Analytics, Python, Salesforce",https://www.naukri.com/job-listings-machine-learning-data-scientist-nlp-forecastera-technologies-pvt-ltd-hyderabad-bengaluru-3-to-7-years-171122501855
Senior Analyst/Data Scientist - NLP/GenAI,Zetwerk,4-6 Yrs,"Bengaluru, Hyderabad, Chennai",Note: The designation will be commensurate with expertise and experience,30+ Days Ago,"Health insurance, Automation, Business transformation, Consulting, Machine learning, Healthcare, Life sciences, Operations",https://www.naukri.com/job-listings-senior-analyst-data-scientist-nlp-genai-zetwerk-hyderabad-chennai-bengaluru-4-to-6-years-070225501111
